Frequency,Acceleration
1600,0.003183000
1602,0.009990000
1603,0.008096000
1605,0.001274000
1606,0.000401200
1608,0.000477500
1609,0.000605800
1611,0.000581500
1613,0.000492900
1614,0.000523800
1616,0.000376200
1617,0.000289300
1619,0.000295500
1620,0.000333100
1622,0.000339100
1623,0.000479100
1625,0.000995000
1627,0.000410100
1628,0.000359800
1630,0.000226900
1631,0.000252500
1633,0.000203300
1634,0.000211500
1636,0.000244100
1638,0.000314000
1639,0.000292300
1641,0.000254300
1642,0.000234500
1644,0.000248400
1645,0.000240200
1647,0.000255900
1648,0.000302600
1650,0.000294500
1652,0.000420700
1653,0.000483000
1655,0.000273600
1656,0.000398500
1658,0.000434000
1659,0.000539600
1661,0.000514700
1663,0.000502000
1664,0.000470700
1666,0.000557600
1667,0.000716500
1669,0.001495000
1670,0.002356000
1672,0.002486000
1673,0.001386000
1675,0.000976000
1677,0.001622000
1678,0.001297000
1680,0.001908000
1681,0.001124000
1683,0.000389300
1684,0.000429600
1686,0.000401800
1688,0.000383100
1689,0.000305600
1691,0.000214300
1692,0.000290900
1694,0.000240900
1695,0.000277600
1697,0.000230500
1698,0.000509400
1700,0.001986000
1702,0.008697000
1703,0.008091000
1705,0.001499000
1706,0.000320000
1708,0.000335100
1709,0.000293400
1711,0.000180200
1713,0.000214100
1714,0.000166700
1716,0.000208200
1717,0.000310900
1719,0.000245300
1720,0.000257400
1722,0.000266500
1723,0.000503900
1725,0.000879400
1727,0.000538400
1728,0.000307100
1730,0.000216200
1731,0.000176600
1733,0.000247200
1734,0.000347700
1736,0.000418200
1738,0.000360900
1739,0.000300800
1741,0.000198100
1742,0.000332800
1744,0.000694700
1745,0.000756900
1747,0.000475200
1748,0.000582400
1750,0.000643100
1752,0.001747000
1753,0.001632000
1755,0.000671400
1756,0.000539600
1758,0.000443600
1759,0.000364900
1761,0.000305800
1763,0.000356800
1764,0.000386500
1766,0.000400500
1767,0.000552600
1769,0.000553300
1770,0.000346400
1772,0.000590900
1773,0.000546800
1775,0.000320200
1777,0.000267900
1778,0.000266300
1780,0.000326200
1781,0.000224700
1783,0.000279800
1784,0.000252600
1786,0.000206800
1788,0.000276400
1789,0.000311600
1791,0.000268200
1792,0.000348200
1794,0.000483200
1795,0.000396100
1797,0.000421800
1798,0.000398900
1800,0.003144000
1802,0.015670000
1803,0.016120000
1805,0.003461000
1806,0.000642700
1808,0.000280600
1809,0.000357800
1811,0.000319100
1813,0.000268500
1814,0.000264800
1816,0.000327800
1817,0.000374900
1819,0.000308500
1820,0.000261200
1822,0.000211300
1823,0.000381300
1825,0.000856000
1827,0.000577100
1828,0.000563500
1830,0.000328500
1831,0.000194900
1833,0.000256500
1834,0.000234700
1836,0.000210600
1838,0.000190900
1839,0.000302300
1841,0.000383400
1842,0.000283500
1844,0.000277400
1845,0.000367500
1847,0.000299000
1848,0.000370600
1850,0.000318400
1852,0.000427400
1853,0.000486400
1855,0.000327900
1856,0.000428900
1858,0.000369600
1859,0.000337800
1861,0.000244300
1863,0.000328100
1864,0.000436800
1866,0.000412600
1867,0.000395900
1869,0.000425100
1870,0.000384500
1872,0.000503600
1873,0.000613300
1875,0.000543200
1877,0.000731300
1878,0.000869900
1880,0.001134000
1881,0.000682100
1883,0.000176400
1884,0.000210600
1886,0.000220700
1888,0.000307300
1889,0.000274900
1891,0.000268700
1892,0.000327100
1894,0.000248700
1895,0.000368000
1897,0.000409300
1898,0.000537500
1900,0.002482000
1902,0.015320000
1903,0.017700000
1905,0.004615000
1906,0.000571200
1908,0.000242700
1909,0.000119400
1911,0.000142700
1913,0.000150700
1914,0.000151500
1916,0.000132100
1917,0.000118000
1919,0.000171900
1920,0.000175900
1922,0.000123200
1923,0.000149600
1925,0.000222000
1927,0.000278300
1928,0.000246300
1930,0.000220800
1931,0.000219200
1933,0.000229700
1934,0.000215700
1936,0.000250300
1938,0.000246300
1939,0.000231400
1941,0.000201100
1942,0.000211400
1944,0.000236200
1945,0.000220400
1947,0.000191200
1948,0.000350900
1950,0.000414900
1952,0.000503900
1953,0.000527000
1955,0.000351300
1956,0.000264000
1958,0.000302500
1959,0.000273300
1961,0.000271700
1963,0.000239500
1964,0.000236200
1966,0.000419100
1967,0.000416900
1969,0.000297200
1970,0.000241400
1972,0.000368600
1973,0.000311200
1975,0.000450000
1977,0.000439400
1978,0.000317900
1980,0.000391800
1981,0.000303600
1983,0.000256300
1984,0.000298200
1986,0.000321300
1988,0.000390100
